F1 code,F0 code,Rep,source,F0parasite,F0temp,F1parasite,F1temp,Body.size,Embedded.spore,Penetrated.spore,attack,gut.resistance,Hemocytes,Hemocytes.per.spore,lifespan,infection,mean foregut width,totalbaby,ageatfirst,firstclutch,earlydeath,maturetrans,infection.status
UC1,UC1,1,UC1,control,control,control,control,1252.99,,,,,,,71,,,176,12,6,0,,control
UC2,UC2,2,UC22,control,control,control,control,1172.33,,,,,,,68,,,176,12,6,0,,control
UC6,UC6,6,UC6,control,control,control,control,1166.15,,,,,,,82,,,209,10,2,0,,control
UC7,UC7,7,UC7,control,control,control,control,1448.15,,,,,,,64,,,169,8,2,0,,control
UC8,UC8,8,UC8,control,control,control,control,977.18,,,,,,,64,,,125,12,4,0,,control
UC9,UC9,9,UC9,control,control,control,control,1397.63,,,,,,,53,,,132,8,4,0,,control
UC10,UC10,10,UC23,control,control,control,control,1465.36,,,,,,,11,,,4,9,4,0,,control
UC12,UC12,12,UC21,control,control,control,control,1335.62,,,,,,,36,,,69,10,5,0,,control
UC13,UC13,13,UC13,control,control,control,control,1242.51,,,,,,,49,,,128,10,6,0,,control
UC14,UC14,14,UC14,control,control,control,control,1312.88,,,,,,,,,,77,9,2,0,,control
UC15,UC15,15,UC15,control,control,control,control,1264.37,,,,,,,71,,,160,10,3,0,,control
UC18,UC18,18,UC17,control,control,control,control,1186.67,,,,,,,56,,,110,10,5,0,,control
UC19,UC19,19,UC19,control,control,control,control,1491.82,,,,,,,50,,,201,10,5,0,,control
UC20,UC20,20,UC10,control,control,control,control,1154.94,,,,,,,23,,,30,10,5,0,,control
IC1,UC1,1,UC1,control,control,infection,control,1260.36,7,2,9,0.777777778,0,0,,,16.90333333,0,,,1,,
IC2,UC2,2,UC22,control,control,infection,control,1107.8,3,10,13,0.230769231,64,6.4,20,1,16.1,18,12,6,0,822500,exposed-infected
IC6,UC6,6,UC6,control,control,infection,control,1118.18,3,8,11,0.272727273,14,1.75,36,0,16.86666667,58,8,3,0,0,exposed-uninfected
